Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Comercio al por mayor de prendas de vestir,RIONEGRO,ANTIOQUIA,AEROPUERTO MULTICENTRO BODEGA 8 GLORIETA,https://empresite.eleconomistaamerica.co/KOSTAS-JEANSWEAR-SA.html,KOSTAS JEANSWEAR S A,JEANS,3174351760
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 70 32 70 OF 201,https://empresite.eleconomistaamerica.co/SOCIEDAD-COMERCIALIZACION-INTERNACIONAL-JEANS-COMPANY-SA.html,U JEANS Y COMPANY S A S,JEANS,(4)3118360
Confección de prendas de vestir,DON MATIAS,ANTIOQUIA,CARRERA 30 31 47,https://empresite.eleconomistaamerica.co/CREACIONES-EURO-JEANS-LTDA.html,CREACIONES EURO JEANS LTDA,JEANS,(4)8663634
Fabricacion de articulos de punto y ganchillo,ENVIGADO,ANTIOQUIA,DIAGONAL 32 B 33 A SUR 23,https://empresite.eleconomistaamerica.co/BASE-JEANS-EU.html,BASE JEANS E U,JEANS,(4)3310674
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 56 B 49 A 29 I NTE 1,https://empresite.eleconomistaamerica.co/TOP-M-JEANS-1-SA.html,TOP M JEANS 1 S A S,JEANS,(4)5117345
Confeccion de prendas de vestir excepto prendas de piel,ENVIGADO,ANTIOQUIA,CARRERA 43 A 40 SUR 57,https://empresite.eleconomistaamerica.co/INDUSTRIAS-1868-JEANS-SAS.html,INDUSTRIAS NAK JEANS S A S,JEANS,(4)6141747
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 56 C 49 30 LC 301,https://empresite.eleconomistaamerica.co/PAO-JEANS-SAS.html,PAO JEANS S A S,JEANS,(4)5132967
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 52 A 56 14 INT 201,https://empresite.eleconomistaamerica.co/PIPE-S-JEANS-SAS.html,PIPE S JEANS S A S,JEANS,(4)2517561
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,DIAGONAL 74 D 32 BB 52 INT 20,https://empresite.eleconomistaamerica.co/TENTACION-JEANS-SAS.html,TENTACION JEANS S A S,JEANS,(4)4118817
Acabado de productos textiles,MEDELLIN,ANTIOQUIA,CALLE 7 81 B 13 APTO 30,https://empresite.eleconomistaamerica.co/MILAGROS-JEANS-SAS.html,MILAGROS JEANS S A S,JEANS,(4)5837923
Confeccion de prendas de vestir excepto prendas de piel,DON MATIAS,ANTIOQUIA,CALLE 34 30 78 LOCAL 201,https://empresite.eleconomistaamerica.co/COMERCIALIZADORA-MUNDO-JEANS-SAS.html,COMERCIALIZADORA MUNDO JEANS S A S,JEANS,(4)8665523
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 48 52 A 10 LOCAL 4,https://empresite.eleconomistaamerica.co/REAL-DAGA-JEANS-SAS.html,REAL DAGA JEANS S A S,JEANS,(4)2512499
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,TRANSVERSAL 78 65 233,https://empresite.eleconomistaamerica.co/ZOY-JEANS-SAS.html,ZOY JEANS S A S,JEANS,(4)4419903
Confeccion de prendas de vestir excepto prendas de piel,DON MATIAS,ANTIOQUIA,CALLE 28 29 37 LOCAL 201,https://empresite.eleconomistaamerica.co/CONFECCIONES-M-JEANS-SAS.html,CONFECCIONES M JEANS S A S,JEANS,(4)8665251
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 49 56 15 LOCAL 801,https://empresite.eleconomistaamerica.co/INDUSTRIAS-DJ-JEANS-SAS.html,INDUSTRIAS DJ JEANS S A S,JEANS,(4)2930657
Confeccion de prendas de vestir excepto prendas de piel,ITAGUI,ANTIOQUIA,CARRERA 55 80 63 P 4,https://empresite.eleconomistaamerica.co/CONFECCIONES-ROCCO-JEANS-SAS.html,CONFECCIONES ROCCO JEANS S A S,JEANS,3128855925
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,TRANSVERSAL 49 C 59 55 PISO 4,https://empresite.eleconomistaamerica.co/DO-JEANS-CONFECCIONES-SAS.html,DO JEANS CONFECCIONES S A S,JEANS,(4)2519695
Comercio al por mayor de prendas de vestir,MEDELLIN,ANTIOQUIA,CALLE 48 53 69 414 415 4,https://empresite.eleconomistaamerica.co/SANTAELLA-JEANS-SAS.html,SANTAELLA JEANS S A S,JEANS,(4)4234273
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 45 G 77 A 15,https://empresite.eleconomistaamerica.co/CREACIONES-INFINITO-JEANS-SAS.html,CREACIONES INFINITO JEANS S A S,JEANS,(4)4139353
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 76 50 B 16,https://empresite.eleconomistaamerica.co/FERRARO-JEANS-SAS.html,FERRARO JEANS S A S,JEANS,(4)2126947
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 57 51 110 LOCAL 20,https://empresite.eleconomistaamerica.co/ZAFIRA-JEANS-SAS.html,ZAFIRA JEANS S A S,JEANS,(4)2315416
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 56 46 49 LOC 1304,https://empresite.eleconomistaamerica.co/WAALS-JEANS-LTDA.html,WAALS JEANS LTDA,JEANS,(4)2319493
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CARRERA 34 8A 23,https://empresite.eleconomistaamerica.co/EASY-JEANS-LTDA.html,EASY JEANS LTDA,JEANS,(4)3115416
