Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Comercio al por menor de articulos de ferreteria pinturas y productos de vidrio en establecimientos especializados,MEDELLIN,ANTIOQUIA,CALLE 50 55 80,http://empresite.eleconomistaamerica.co/ESPECIALIDADES-ELECTRICAS-MEDELLIN-LTDA.html,ESPECIALIDADES ELECTRICAS DE MEDELLIN LTDA,ESPECIALIDAD-CAFE,(4)2312255
Actividades inmobiliarias realizadas con bienes propios o arrendados,MEDELLIN,ANTIOQUIA,CALLE 5 A 33 06 CASA 5,http://empresite.eleconomistaamerica.co/CAFE-MANILA-SAS.html,CAFE MANILA S A S,ESPECIALIDAD-CAFE,(4)4132825
Expendio a la mesa de comidas preparadas,SABANETA,ANTIOQUIA,CALLE 69 SUR 45 27,http://empresite.eleconomistaamerica.co/CAFE-MORENO-SAS.html,CAFE MORENO S A S,ESPECIALIDAD-CAFE,(4)5993838
Comercio al por menor de productos textiles en establecimientos especializados,MEDELLIN,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/CAFE-MODA-LTDA.html,CAFE MODA LTDA,ESPECIALIDAD-CAFE,
Comercio al por mayor de materias primas agropecuarias animales vivos,FREDONIA,ANTIOQUIA,VEREDA LA TOSCANA,http://empresite.eleconomistaamerica.co/CAFE-CIMA-SAS.html,CAFE DE LA CIMA S A S,ESPECIALIDAD-CAFE,(4)8422106
Comercio al por mayor de productos quimicos basicos cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario,JERICO,ANTIOQUIA,CARRERA 5 8 22,http://empresite.eleconomistaamerica.co/CAFEAGRO-SAS.html,CAFEAGRO S A S,ESPECIALIDAD-CAFE,(4)8523523
Cultivo de cafe,MEDELLIN,ANTIOQUIA,CARRERA 43 A 1 SUR 188 OF906,http://empresite.eleconomistaamerica.co/CAFE-BOTON-LTDA.html,CAFE EL BOTON S A S,ESPECIALIDAD-CAFE,(4)2681601
Actividades de administracion empresarial,MEDELLIN,ANTIOQUIA,CALLE 5 A 35 86 APTO 701,http://empresite.eleconomistaamerica.co/CAFERSA-SAS.html,CAFERSA S A S,ESPECIALIDAD-CAFE,(4)3721313
Expendio a la mesa de comidas preparadas,MEDELLIN,ANTIOQUIA,CARRERA 43 A 6 SUR 15,http://empresite.eleconomistaamerica.co/CAFE-LE-GRIS-SA.html,CAFE LE GRIS S A,ESPECIALIDAD-CAFE,(4)3112445
Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados,MEDELLIN,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/CAFE-SPORT-LTDA.html,CAFE SPORT LTDA,ESPECIALIDAD-CAFE,
Descafeinado tostion y molienda del cafe,CIUDAD BOLIVAR,ANTIOQUIA,CARRERA 50 52 06,http://empresite.eleconomistaamerica.co/CAFEEXCOL-SAS.html,CAFEEXCOL S A S,ESPECIALIDAD-CAFE,3154823650
Cultivo de cafe,MEDELLIN,ANTIOQUIA,CARRERA 111 38 18,http://empresite.eleconomistaamerica.co/CAFE-BOU-SAS.html,CAFE BOU S A S,ESPECIALIDAD-CAFE,(4)5701842
Actividades posteriores a la cosecha,BARBOSA,ANTIOQUIA,FINCA LAS DELICIAS VEREDA LA CHORRERA,http://empresite.eleconomistaamerica.co/CAFE-TALEGA-SAS.html,CAFE LA TALEGA S A S,ESPECIALIDAD-CAFE,3218308505
