Actividad,Ciudad,Departamento,Direccion,Link,Nombre_Empresa,Tema_Busqueda,telefono
Actividades de administracion empresarial,MEDELLIN,ANTIOQUIA,CALLE 11 43 B 50 OFIC404,http://empresite.eleconomistaamerica.co/DREAM-BIG-SAS.html,DREAM BIG S A S,BIG-DATA,(4)5831111
Publicidad,MEDELLIN,ANTIOQUIA,CALLE 48 C 65 35,http://empresite.eleconomistaamerica.co/BE-BIG-SAS.html,BE BIG S A S,BIG-DATA,(4)5800329
Actividades de consultaria de gestion,MEDELLIN,ANTIOQUIA,TRANSVERSAL 4 A 75 D 45 B11 INT,http://empresite.eleconomistaamerica.co/ASESORIAS-BIGLA-SAS.html,ASESORIAS BIGLA S A S,BIG-DATA,3122934390
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 5 SUR 32 60,http://empresite.eleconomistaamerica.co/CI-BEYOND-BIG-BRANDING-COLOMBIA-SAS.html,C I BEYOND BIG BRANDING COLOMBIA S A S,BIG-DATA,(4)4444058
Actividades de consultoria informatica y actividades de administracion de instalaciones informaticas,MEDELLIN,ANTIOQUIA,CALLE 10 43 C 22 OF 305,http://empresite.eleconomistaamerica.co/IT-BIG-BOSS-SOFTWARE-HOUSE-SAS.html,IT BIG BOSS SOFTWARE HOUSE S A S,BIG-DATA,(4)3123945
Comercio al por menor de otros productos alimenticios n c p en establecimientos especializados,SANTA FE DE ANTIOQUIA,ANTIOQUIA,CARRERA 11 14 27,http://empresite.eleconomistaamerica.co/DISTRIBUIDORA-BIG-COLA-OCCIDENTE-ANTIOQUENO-SAS.html,DISTRIBUIDORA BIG COLA OCCIDENTE ANTIOQUENO S A S,BIG-DATA,
Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados,MEDELLIN,ANTIOQUIA,CARRERA 40 B 15 100,http://empresite.eleconomistaamerica.co/CI-BIG-BANG-LTDA.html,CI BIG BANG LTDA,BIG-DATA,(4)3110420
Actividades de otras asociaciones n c p,MEDELLIN,ANTIOQUIA,CARRERA 75 92 160,http://empresite.eleconomistaamerica.co/CORPORACION-SOS-HUELLITAS-BIGOTES.html,CORPORACION S O S HUELLITAS Y BIGOTES,BIG-DATA,(4)5827788
Comercio al por mayor de bebidas y tabaco,APARTADO,ANTIOQUIA,CALLE 104 98 68,http://empresite.eleconomistaamerica.co/ALIANZA-BIG-SAS.html,ALIANZA BIG S A S,BIG-DATA,(4)8289595
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,,http://empresite.eleconomistaamerica.co/CREACIONES-BIGBANG-SAS.html,CREACIONES BIGBANG S A S,BIG-DATA,(4)2629990
Confeccion de prendas de vestir excepto prendas de piel,MEDELLIN,ANTIOQUIA,CALLE 51 54 50 OF 508,http://empresite.eleconomistaamerica.co/INDUSTRIAS-BIG-PLANET-LTDA.html,INDUSTRIAS BIG PLANET LTDA,BIG-DATA,(4)5116902
